League, Date, Time, Day, Home Team, Away Team, Location
2bundesliga, 11 June 2025, 17:30, Friday, SpVgg Greuther Fürth, 1. FC Köln, Fürth hbf
2bundesliga, 11 June 2025, 17:30, Friday, Hamburger SV, Eintracht Braunschweig, Hamburg hbf
bundesliga, 11 June 2025, 19:30, Friday, VfL Wolfsburg, RB Leipzig, Wolfsburg hbf
3-liga, 11 June 2025, 20:00, Friday, SV Wehen Wiesbaden, FC Saarbrücken, Wiesbaden hbf
2bundesliga, 12 June 2025, 12:00, Saturday, SSV Ulm 1846, 1. FC Magdeburg, Ulm hbf
2bundesliga, 12 June 2025, 12:00, Saturday, Hertha BSC, SV Darmstadt 98, Berlin hbf
2bundesliga, 12 June 2025, 12:00, Saturday, Hannover 96, SV Elversberg, Hannover hbf
bundesliga, 12 June 2025, 14:30, Saturday, Holstein Kiel, FC St. Pauli, Kiel hbf
bundesliga, 12 June 2025, 14:30, Saturday, VfL Bochum, FC Augsburg, Bochum hbf
bundesliga, 12 June 2025, 14:30, Saturday, Borussia Mönchengladbach, SC Freiburg, Mönchengladbach hbf
bundesliga, 12 June 2025, 14:30, Saturday, TSG Hoffenheim, 1. FSV Mainz 05, Sinsheim (Elsenz) hbf
bundesliga, 12 June 2025, 14:30, Saturday, Bayer Leverkusen, 1. FC Union Berlin, Leverkusen Mitte
3-liga, 12 June 2025, 15:00, Saturday, FC Ingolstadt 04, Hannover 96 II, Ingolstadt hbf
3-liga, 12 June 2025, 15:00, Saturday, SpVgg Unterhaching, VfB Stuttgart II, München hbf
3-liga, 12 June 2025, 15:00, Saturday, Rot-Weiss Essen, Erzgebirge Aue, Essen hbf
3-liga, 12 June 2025, 15:00, Saturday, Hansa Rostock, SC Verl, Rostock hbf
3-liga, 12 June 2025, 15:00, Saturday, Dynamo Dresden, VfL Osnabrück, Dresden hbf
bundesliga, 12 June 2025, 17:30, Saturday, Bayern Munich, Borussia Dortmund, München hbf
3-liga, 12 June 2025, 17:30, Saturday, Alemannia Aachen, SV Sandhausen, Aachen hbf
2bundesliga, 12 June 2025, 19:30, Saturday, 1. FC Kaiserslautern, 1. FC Nürnberg, Kaiserslautern hbf
2bundesliga, 13 June 2025, 12:30, Sunday, SSV Jahn Regensburg, FC Schalke 04, Regensburg hbf
2bundesliga, 13 June 2025, 12:30, Sunday, Preußen Münster, Karlsruher SC, Münster (Westf) hbf
2bundesliga, 13 June 2025, 12:30, Sunday, SC Paderborn 07, Fortuna Düsseldorf, Paderborn hbf
bundesliga, 13 June 2025, 14:30, Sunday, VfB Stuttgart, Werder Bremen, Stuttgart hbf
3-liga, 13 June 2025, 14:30, Sunday, Waldhof Mannheim, TSV 1860 Munich, Mannheim hbf
bundesliga, 13 June 2025, 16:30, Sunday, Eintracht Frankfurt, 1. FC Heidenheim, Frankfurt hbf
3-liga, 13 June 2025, 17:30, Sunday, Borussia Dortmund II, Energie Cottbus, Dortmund hbf
