From,To,Fastest Train Time
München hbf,Dortmund hbf,5 h 38m
Dortmund hbf,München hbf,5 h 38m
München hbf,Leverkusen Mitte,4 h 47m
Leverkusen Mitte,München hbf,4 h 47m
München hbf,Leipzig hbf,3 h 7m
Leipzig hbf,München hbf,3 h 7m
München hbf,Stuttgart hbf,1 h 56m
Stuttgart hbf,München hbf,1 h 56m
München hbf,Frankfurt hbf,3 h 13m
Frankfurt hbf,München hbf,3 h 13m
München hbf,Freiburg (Breisgau) hbf,3 h 59m
Freiburg (Breisgau) hbf,München hbf,3 h 59m
München hbf,Berlin hbf,4 h 10m
Berlin hbf,München hbf,4 h 10m
München hbf,Sinsheim (Elsenz) hbf,3 h 36m
Sinsheim (Elsenz) hbf,München hbf,3 h 36m
München hbf,Mainz hbf,3 h 41m
Mainz hbf,München hbf,3 h 41m
München hbf,Wolfsburg hbf,4 h 59m
Wolfsburg hbf,München hbf,4 h 59m
München hbf,Mönchengladbach hbf,5 h 20m
Mönchengladbach hbf,München hbf,5 h 20m
München hbf,Bremen hbf,5 h 28m
Bremen hbf,München hbf,5 h 28m
München hbf,Augsburg hbf,25m
Augsburg hbf,München hbf,25m
München hbf,Bochum hbf,5 h 44m
Bochum hbf,München hbf,5 h 44m
München hbf,Hamburg hbf,5 h 32m
Hamburg hbf,München hbf,5 h 32m
München hbf,Kiel hbf,7 h
Kiel hbf,München hbf,7 h
München hbf,Köln hbf,4 h 30m
Köln hbf,München hbf,4 h 30m
München hbf,Darmstadt hbf,3 h 34m
Darmstadt hbf,München hbf,3 h 34m
München hbf,Düsseldorf hbf,4 h 41m
Düsseldorf hbf,München hbf,4 h 41m
München hbf,Karlsruhe hbf,2 h 50m
Karlsruhe hbf,München hbf,2 h 50m
München hbf,Hannover hbf,4 h 11m
Hannover hbf,München hbf,4 h 11m
München hbf,Paderborn hbf,4 h 50m
Paderborn hbf,München hbf,4 h 50m
München hbf,Fürth hbf,1 h 18m
Fürth hbf,München hbf,1 h 18m
München hbf,Gelsenkirchen hbf,5 h 18m
Gelsenkirchen hbf,München hbf,5 h 18m
München hbf,Neunkirchen hbf,4 h 22m
Neunkirchen hbf,München hbf,4 h 22m
München hbf,Nürnberg hbf,1 h 5m
Nürnberg hbf,München hbf,1 h 5m
München hbf,Kaiserslautern hbf,3 h 31m
Kaiserslautern hbf,München hbf,3 h 31m
München hbf,Magdeburg hbf,4 h 3m
Magdeburg hbf,München hbf,4 h 3m
